time,location,deaths,cases,date
2,USA,0,0,2020-01-23
3,USA,0,1,2020-01-24
4,USA,0,0,2020-01-25
5,USA,0,3,2020-01-26
6,USA,0,0,2020-01-27
7,USA,0,0,2020-01-28
8,USA,0,1,2020-01-29
9,USA,0,0,2020-01-30
10,USA,0,2,2020-01-31
11,USA,0,0,2020-02-01
12,USA,0,0,2020-02-02
13,USA,0,3,2020-02-03
14,USA,0,0,2020-02-04
15,USA,0,0,2020-02-05
16,USA,0,1,2020-02-06
17,USA,0,0,2020-02-07
18,USA,0,0,2020-02-08
19,USA,0,0,2020-02-09
20,USA,0,0,2020-02-10
21,USA,0,1,2020-02-11
22,USA,0,0,2020-02-12
23,USA,0,1,2020-02-13
24,USA,0,0,2020-02-14
25,USA,0,0,2020-02-15
26,USA,0,0,2020-02-16
27,USA,0,0,2020-02-17
28,USA,0,0,2020-02-18
29,USA,0,0,2020-02-19
30,USA,0,0,2020-02-20
31,USA,0,2,2020-02-21
32,USA,0,0,2020-02-22
33,USA,0,0,2020-02-23
34,USA,0,0,2020-02-24
35,USA,0,0,2020-02-25
36,USA,0,0,2020-02-26
37,USA,0,1,2020-02-27
38,USA,0,0,2020-02-28
39,USA,1,8,2020-02-29
40,USA,0,7,2020-03-01
41,USA,5,23,2020-03-02
42,USA,1,19,2020-03-03
43,USA,4,33,2020-03-04
44,USA,1,77,2020-03-05
45,USA,2,53,2020-03-06
46,USA,3,166,2020-03-07
47,USA,4,116,2020-03-08
48,USA,1,75,2020-03-09
49,USA,6,188,2020-03-10
50,USA,5,365,2020-03-11
51,USA,10,439,2020-03-12
52,USA,8,633,2020-03-13
53,USA,7,759,2020-03-14
54,USA,12,234,2020-03-15
55,USA,27,1467,2020-03-16
56,USA,35,1832,2020-03-17
57,USA,59,2654,2020-03-18
58,USA,74,4494,2020-03-19
59,USA,99,6367,2020-03-20
60,USA,99,5996,2020-03-21
61,USA,110,8802,2020-03-22
62,USA,189,11219,2020-03-23
63,USA,239,10577,2020-03-24
64,USA,324,12034,2020-03-25
65,USA,408,17894,2020-03-26
66,USA,520,18631,2020-03-27
67,USA,633,19607,2020-03-28
68,USA,586,18929,2020-03-29
69,USA,692,22013,2020-03-30
70,USA,1085,26363,2020-03-31
71,USA,1172,25819,2020-04-01
72,USA,1503,30392,2020-04-02
73,USA,1392,32000,2020-04-03
74,USA,1523,33001,2020-04-04
75,USA,1590,28184,2020-04-05
76,USA,1770,30185,2020-04-06
77,USA,2571,31399,2020-04-07
78,USA,2146,32016,2020-04-08
79,USA,2228,34648,2020-04-09
80,USA,2218,33536,2020-04-10
81,USA,2119,29357,2020-04-11
82,USA,1813,26959,2020-04-12
83,USA,1946,25791,2020-04-13
84,USA,2455,28591,2020-04-14
85,USA,2609,30008,2020-04-15
86,USA,2176,31522,2020-04-16
87,USA,2093,32806,2020-04-17
88,USA,1960,27851,2020-04-18
89,USA,1931,25681,2020-04-19
90,USA,2186,28422,2020-04-20
91,USA,2548,26038,2020-04-21
92,USA,2434,29297,2020-04-22
93,USA,2469,33431,2020-04-23
94,USA,2154,33566,2020-04-24
95,USA,1698,31801,2020-04-25
96,USA,1329,27099,2020-04-26
97,USA,1466,23174,2020-04-27
98,USA,2241,24674,2020-04-28
99,USA,2521,27845,2020-04-29
100,USA,2322,29505,2020-04-30
101,USA,1891,34220,2020-05-01
102,USA,1692,28002,2020-05-02
103,USA,1120,24502,2020-05-03
104,USA,1333,23402,2020-05-04
105,USA,2318,24563,2020-05-05
106,USA,2364,25147,2020-05-06
107,USA,1934,27790,2020-05-07
108,USA,1747,26882,2020-05-08
109,USA,1488,24968,2020-05-09
110,USA,893,18856,2020-05-10
111,USA,1014,19447,2020-05-11
112,USA,1627,22758,2020-05-12
113,USA,1764,20966,2020-05-13
114,USA,1783,27308,2020-05-14
115,USA,1681,25298,2020-05-15
116,USA,1216,24013,2020-05-16
117,USA,758,18114,2020-05-17
118,USA,1172,22012,2020-05-18
119,USA,1552,21044,2020-05-19
120,USA,1526,23505,2020-05-20
121,USA,1217,25665,2020-05-21
122,USA,1244,23438,2020-05-22
123,USA,1109,21197,2020-05-23
124,USA,622,20114,2020-05-24
125,USA,548,18317,2020-05-25
126,USA,662,19524,2020-05-26
127,USA,1518,18590,2020-05-27
128,USA,1178,22948,2020-05-28
129,USA,1160,24351,2020-05-29
130,USA,963,23843,2020-05-30
131,USA,581,19172,2020-05-31
132,USA,776,17364,2020-06-01
133,USA,1068,21373,2020-06-02
134,USA,1007,19977,2020-06-03
135,USA,1023,21719,2020-06-04
136,USA,914,25167,2020-06-05
137,USA,659,21836,2020-06-06
138,USA,438,17787,2020-06-07
139,USA,519,17528,2020-06-08
140,USA,950,18369,2020-06-09
141,USA,901,20824,2020-06-10
142,USA,871,23197,2020-06-11
143,USA,828,24865,2020-06-12
144,USA,759,25260,2020-06-13
145,USA,308,19372,2020-06-14
146,USA,394,19924,2020-06-15
147,USA,838,23795,2020-06-16
148,USA,744,25904,2020-06-17
149,USA,718,28185,2020-06-18
150,USA,670,31310,2020-06-19
151,USA,604,32254,2020-06-20
152,USA,285,26106,2020-06-21
153,USA,389,30482,2020-06-22
154,USA,847,35765,2020-06-23
155,USA,759,34465,2020-06-24
156,USA,551,40536,2020-06-25
157,USA,617,45314,2020-06-26
158,USA,504,42349,2020-06-27
159,USA,273,39351,2020-06-28
160,USA,377,40685,2020-06-29
161,USA,625,46163,2020-06-30
162,USA,694,51320,2020-07-01
163,USA,727,55110,2020-07-02
164,USA,660,52548,2020-07-03
165,USA,265,45740,2020-07-04
166,USA,288,49977,2020-07-05
167,USA,355,44650,2020-07-06
168,USA,1222,60156,2020-07-07
169,USA,863,59173,2020-07-08
170,USA,1003,63271,2020-07-09
171,USA,824,67719,2020-07-10
172,USA,690,60151,2020-07-11
173,USA,459,58879,2020-07-12
174,USA,367,59470,2020-07-13
175,USA,926,66957,2020-07-14
176,USA,968,67623,2020-07-15
177,USA,943,77362,2020-07-16
178,USA,930,72010,2020-07-17
179,USA,868,62748,2020-07-18
180,USA,447,61255,2020-07-19
181,USA,514,61942,2020-07-20
182,USA,1107,64431,2020-07-21
183,USA,1216,71305,2020-07-22
184,USA,1094,69073,2020-07-23
185,USA,1132,73107,2020-07-24
186,USA,899,66454,2020-07-25
187,USA,472,54802,2020-07-26
188,USA,1120,56580,2020-07-27
189,USA,1374,65793,2020-07-28
190,USA,1432,71302,2020-07-29
191,USA,1209,67779,2020-07-30
192,USA,1243,67153,2020-07-31
193,USA,1115,57903,2020-08-01
194,USA,403,47329,2020-08-02
195,USA,530,44830,2020-08-03
196,USA,1378,57460,2020-08-04
197,USA,1376,53652,2020-08-05
198,USA,1253,59640,2020-08-06
199,USA,1242,58332,2020-08-07
200,USA,1077,55690,2020-08-08
201,USA,511,46123,2020-08-09
202,USA,527,49760,2020-08-10
203,USA,1064,46903,2020-08-11
204,USA,1505,57004,2020-08-12
205,USA,1070,51977,2020-08-13
206,USA,1338,64601,2020-08-14
207,USA,1034,47425,2020-08-15
208,USA,571,41413,2020-08-16
209,USA,446,35939,2020-08-17
210,USA,1325,45354,2020-08-18
211,USA,1353,47330,2020-08-19
212,USA,1079,44081,2020-08-20
213,USA,1105,48219,2020-08-21
214,USA,982,44410,2020-08-22
215,USA,450,34429,2020-08-23
216,USA,442,37854,2020-08-24
217,USA,1239,38229,2020-08-25
218,USA,1225,45091,2020-08-26
219,USA,1111,45871,2020-08-27
220,USA,971,46196,2020-08-28
221,USA,958,46020,2020-08-29
222,USA,310,35354,2020-08-30
223,USA,573,34512,2020-08-31
224,USA,1067,42529,2020-09-01
225,USA,1056,40603,2020-09-02
226,USA,1070,43918,2020-09-03
227,USA,965,50107,2020-09-04
228,USA,783,44051,2020-09-05
229,USA,403,31131,2020-09-06
230,USA,267,24056,2020-09-07
231,USA,445,26736,2020-09-08
232,USA,1193,33552,2020-09-09
233,USA,920,36360,2020-09-10
234,USA,1213,47522,2020-09-11
235,USA,714,41123,2020-09-12
236,USA,378,34624,2020-09-13
237,USA,422,33946,2020-09-14
238,USA,1288,39191,2020-09-15
239,USA,983,38551,2020-09-16
240,USA,870,44730,2020-09-17
241,USA,936,48716,2020-09-18
242,USA,712,44050,2020-09-19
243,USA,227,36214,2020-09-20
244,USA,356,52464,2020-09-21
245,USA,921,38965,2020-09-22
246,USA,1098,38433,2020-09-23
247,USA,914,44132,2020-09-24
248,USA,952,50585,2020-09-25
249,USA,740,44872,2020-09-26
250,USA,266,36422,2020-09-27
251,USA,316,33312,2020-09-28
252,USA,914,42100,2020-09-29
253,USA,946,41405,2020-09-30
254,USA,858,44749,2020-10-01
255,USA,907,54506,2020-10-02
256,USA,687,50044,2020-10-03
