time,location,growth
2,CA,0
2,FL,0
2,MI,0
2,NJ,0
2,NY,0
2,Other,0
2,South,0
2,TX,0
3,CA,0
3,FL,0
3,MI,0
3,NJ,0
3,NY,0
3,Other,1
3,South,0
3,TX,0
4,CA,0
4,FL,0
4,MI,0
4,NJ,0
4,NY,0
4,Other,0
4,South,0
4,TX,0
5,CA,2
5,FL,0
5,MI,0
5,NJ,0
5,NY,0
5,Other,1
5,South,0
5,TX,0
6,CA,0
6,FL,0
6,MI,0
6,NJ,0
6,NY,0
6,Other,0
6,South,0
6,TX,0
7,CA,0
7,FL,0
7,MI,0
7,NJ,0
7,NY,0
7,Other,0
7,South,0
7,TX,0
8,CA,0
8,FL,0
8,MI,0
8,NJ,0
8,NY,0
8,Other,1
8,South,0
8,TX,0
9,CA,0
9,FL,0
9,MI,0
9,NJ,0
9,NY,0
9,Other,0
9,South,0
9,TX,0
10,CA,1
10,FL,0
10,MI,0
10,NJ,0
10,NY,0
10,Other,1
10,South,0
10,TX,0
11,CA,0
11,FL,0
11,MI,0
11,NJ,0
11,NY,0
11,Other,0
11,South,0
11,TX,0
12,CA,0
12,FL,0
12,MI,0
12,NJ,0
12,NY,0
12,Other,0
12,South,0
12,TX,0
13,CA,3
13,FL,0
13,MI,0
13,NJ,0
13,NY,0
13,Other,0
13,South,0
13,TX,0
14,CA,0
14,FL,0
14,MI,0
14,NJ,0
14,NY,0
14,Other,0
14,South,0
14,TX,0
15,CA,0
15,FL,0
15,MI,0
15,NJ,0
15,NY,0
15,Other,0
15,South,0
15,TX,0
16,CA,0
16,FL,0
16,MI,0
16,NJ,0
16,NY,0
16,Other,1
16,South,0
16,TX,0
17,CA,0
17,FL,0
17,MI,0
17,NJ,0
17,NY,0
17,Other,0
17,South,0
17,TX,0
18,CA,0
18,FL,0
18,MI,0
18,NJ,0
18,NY,0
18,Other,0
18,South,0
18,TX,0
19,CA,0
19,FL,0
19,MI,0
19,NJ,0
19,NY,0
19,Other,0
19,South,0
19,TX,0
20,CA,0
20,FL,0
20,MI,0
20,NJ,0
20,NY,0
20,Other,0
20,South,0
20,TX,0
21,CA,1
21,FL,0
21,MI,0
21,NJ,0
21,NY,0
21,Other,0
21,South,0
21,TX,0
22,CA,0
22,FL,0
22,MI,0
22,NJ,0
22,NY,0
22,Other,0
22,South,0
22,TX,0
23,CA,1
23,FL,0
23,MI,0
23,NJ,0
23,NY,0
23,Other,0
23,South,0
23,TX,0
24,CA,0
24,FL,0
24,MI,0
24,NJ,0
24,NY,0
24,Other,0
24,South,0
24,TX,0
25,CA,0
25,FL,0
25,MI,0
25,NJ,0
25,NY,0
25,Other,0
25,South,0
25,TX,0
26,CA,0
26,FL,0
26,MI,0
26,NJ,0
26,NY,0
26,Other,0
26,South,0
26,TX,0
27,CA,0
27,FL,0
27,MI,0
27,NJ,0
27,NY,0
27,Other,0
27,South,0
27,TX,0
28,CA,0
28,FL,0
28,MI,0
28,NJ,0
28,NY,0
28,Other,0
28,South,0
28,TX,0
29,CA,0
