date,county,time,count
2020-01-22,Abbeville,1,0
2020-01-22,Anderson,1,0
2020-01-22,Cherokee,1,0
2020-01-22,Greenville,1,0
2020-01-22,Greenwood,1,0
2020-01-22,Laurens,1,0
2020-01-22,Oconee,1,0
2020-01-22,Pickens,1,0
2020-01-22,Spartanburg,1,0
2020-01-22,Union,1,0
2020-01-23,Abbeville,2,0
2020-01-23,Anderson,2,0
2020-01-23,Cherokee,2,0
2020-01-23,Greenville,2,0
2020-01-23,Greenwood,2,0
2020-01-23,Laurens,2,0
2020-01-23,Oconee,2,0
2020-01-23,Pickens,2,0
2020-01-23,Spartanburg,2,0
2020-01-23,Union,2,0
2020-01-24,Abbeville,3,0
2020-01-24,Anderson,3,0
2020-01-24,Cherokee,3,0
2020-01-24,Greenville,3,0
2020-01-24,Greenwood,3,0
2020-01-24,Laurens,3,0
2020-01-24,Oconee,3,0
2020-01-24,Pickens,3,0
2020-01-24,Spartanburg,3,0
2020-01-24,Union,3,0
2020-01-25,Abbeville,4,0
2020-01-25,Anderson,4,0
2020-01-25,Cherokee,4,0
2020-01-25,Greenville,4,0
2020-01-25,Greenwood,4,0
2020-01-25,Laurens,4,0
2020-01-25,Oconee,4,0
2020-01-25,Pickens,4,0
2020-01-25,Spartanburg,4,0
2020-01-25,Union,4,0
2020-01-26,Abbeville,5,0
2020-01-26,Anderson,5,0
2020-01-26,Cherokee,5,0
2020-01-26,Greenville,5,0
2020-01-26,Greenwood,5,0
2020-01-26,Laurens,5,0
2020-01-26,Oconee,5,0
2020-01-26,Pickens,5,0
2020-01-26,Spartanburg,5,0
2020-01-26,Union,5,0
2020-01-27,Abbeville,6,0
2020-01-27,Anderson,6,0
2020-01-27,Cherokee,6,0
2020-01-27,Greenville,6,0
2020-01-27,Greenwood,6,0
2020-01-27,Laurens,6,0
2020-01-27,Oconee,6,0
2020-01-27,Pickens,6,0
2020-01-27,Spartanburg,6,0
2020-01-27,Union,6,0
2020-01-28,Abbeville,7,0
2020-01-28,Anderson,7,0
2020-01-28,Cherokee,7,0
2020-01-28,Greenville,7,0
2020-01-28,Greenwood,7,0
2020-01-28,Laurens,7,0
2020-01-28,Oconee,7,0
2020-01-28,Pickens,7,0
2020-01-28,Spartanburg,7,0
2020-01-28,Union,7,0
2020-01-29,Abbeville,8,0
2020-01-29,Anderson,8,0
2020-01-29,Cherokee,8,0
2020-01-29,Greenville,8,0
2020-01-29,Greenwood,8,0
2020-01-29,Laurens,8,0
2020-01-29,Oconee,8,0
2020-01-29,Pickens,8,0
2020-01-29,Spartanburg,8,0
2020-01-29,Union,8,0
2020-01-30,Abbeville,9,0
2020-01-30,Anderson,9,0
2020-01-30,Cherokee,9,0
2020-01-30,Greenville,9,0
2020-01-30,Greenwood,9,0
2020-01-30,Laurens,9,0
2020-01-30,Oconee,9,0
2020-01-30,Pickens,9,0
2020-01-30,Spartanburg,9,0
2020-01-30,Union,9,0
2020-01-31,Abbeville,10,0
2020-01-31,Anderson,10,0
2020-01-31,Cherokee,10,0
2020-01-31,Greenville,10,0
2020-01-31,Greenwood,10,0
2020-01-31,Laurens,10,0
2020-01-31,Oconee,10,0
2020-01-31,Pickens,10,0
2020-01-31,Spartanburg,10,0
2020-01-31,Union,10,0
2020-02-01,Abbeville,11,0
2020-02-01,Anderson,11,0
2020-02-01,Cherokee,11,0
2020-02-01,Greenville,11,0
2020-02-01,Greenwood,11,0
2020-02-01,Laurens,11,0
2020-02-01,Oconee,11,0
2020-02-01,Pickens,11,0
2020-02-01,Spartanburg,11,0
2020-02-01,Union,11,0
2020-02-02,Abbeville,12,0
2020-02-02,Anderson,12,0
2020-02-02,Cherokee,12,0
2020-02-02,Greenville,12,0
2020-02-02,Greenwood,12,0
2020-02-02,Laurens,12,0
2020-02-02,Oconee,12,0
2020-02-02,Pickens,12,0
2020-02-02,Spartanburg,12,0
2020-02-02,Union,12,0
2020-02-03,Abbeville,13,0
2020-02-03,Anderson,13,0
2020-02-03,Cherokee,13,0
2020-02-03,Greenville,13,0
2020-02-03,Greenwood,13,0
2020-02-03,Laurens,13,0
2020-02-03,Oconee,13,0
2020-02-03,Pickens,13,0
2020-02-03,Spartanburg,13,0
2020-02-03,Union,13,0
2020-02-04,Abbeville,14,0
2020-02-04,Anderson,14,0
2020-02-04,Cherokee,14,0
2020-02-04,Greenville,14,0
2020-02-04,Greenwood,14,0
2020-02-04,Laurens,14,0
2020-02-04,Oconee,14,0
2020-02-04,Pickens,14,0
2020-02-04,Spartanburg,14,0
2020-02-04,Union,14,0
2020-02-05,Abbeville,15,0
2020-02-05,Anderson,15,0
2020-02-05,Cherokee,15,0
2020-02-05,Greenville,15,0
2020-02-05,Greenwood,15,0
2020-02-05,Laurens,15,0
2020-02-05,Oconee,15,0
2020-02-05,Pickens,15,0
2020-02-05,Spartanburg,15,0
2020-02-05,Union,15,0
2020-02-06,Abbeville,16,0
2020-02-06,Anderson,16,0
2020-02-06,Cherokee,16,0
2020-02-06,Greenville,16,0
2020-02-06,Greenwood,16,0
2020-02-06,Laurens,16,0
2020-02-06,Oconee,16,0
2020-02-06,Pickens,16,0
2020-02-06,Spartanburg,16,0
2020-02-06,Union,16,0
2020-02-07,Abbeville,17,0
2020-02-07,Anderson,17,0
2020-02-07,Cherokee,17,0
2020-02-07,Greenville,17,0
2020-02-07,Greenwood,17,0
2020-02-07,Laurens,17,0
2020-02-07,Oconee,17,0
2020-02-07,Pickens,17,0
2020-02-07,Spartanburg,17,0
2020-02-07,Union,17,0
2020-02-08,Abbeville,18,0
2020-02-08,Anderson,18,0
2020-02-08,Cherokee,18,0
2020-02-08,Greenville,18,0
2020-02-08,Greenwood,18,0
2020-02-08,Laurens,18,0
2020-02-08,Oconee,18,0
2020-02-08,Pickens,18,0
2020-02-08,Spartanburg,18,0
2020-02-08,Union,18,0
2020-02-09,Abbeville,19,0
2020-02-09,Anderson,19,0
2020-02-09,Cherokee,19,0
2020-02-09,Greenville,19,0
2020-02-09,Greenwood,19,0
2020-02-09,Laurens,19,0
2020-02-09,Oconee,19,0
2020-02-09,Pickens,19,0
2020-02-09,Spartanburg,19,0
2020-02-09,Union,19,0
2020-02-10,Abbeville,20,0
2020-02-10,Anderson,20,0
2020-02-10,Cherokee,20,0
2020-02-10,Greenville,20,0
2020-02-10,Greenwood,20,0
2020-02-10,Laurens,20,0
2020-02-10,Oconee,20,0
2020-02-10,Pickens,20,0
2020-02-10,Spartanburg,20,0
2020-02-10,Union,20,0
2020-02-11,Abbeville,21,0
2020-02-11,Anderson,21,0
2020-02-11,Cherokee,21,0
2020-02-11,Greenville,21,0
2020-02-11,Greenwood,21,0
2020-02-11,Laurens,21,0
2020-02-11,Oconee,21,0
2020-02-11,Pickens,21,0
2020-02-11,Spartanburg,21,0
2020-02-11,Union,21,0
2020-02-12,Abbeville,22,0
2020-02-12,Anderson,22,0
2020-02-12,Cherokee,22,0
2020-02-12,Greenville,22,0
2020-02-12,Greenwood,22,0
2020-02-12,Laurens,22,0
2020-02-12,Oconee,22,0
2020-02-12,Pickens,22,0
2020-02-12,Spartanburg,22,0
2020-02-12,Union,22,0
2020-02-13,Abbeville,23,0
2020-02-13,Anderson,23,0
2020-02-13,Cherokee,23,0
2020-02-13,Greenville,23,0
2020-02-13,Greenwood,23,0
2020-02-13,Laurens,23,0
2020-02-13,Oconee,23,0
2020-02-13,Pickens,23,0
2020-02-13,Spartanburg,23,0
2020-02-13,Union,23,0
2020-02-14,Abbeville,24,0
2020-02-14,Anderson,24,0
2020-02-14,Cherokee,24,0
2020-02-14,Greenville,24,0
2020-02-14,Greenwood,24,0
2020-02-14,Laurens,24,0
2020-02-14,Oconee,24,0
2020-02-14,Pickens,24,0
2020-02-14,Spartanburg,24,0
2020-02-14,Union,24,0
2020-02-15,Abbeville,25,0
2020-02-15,Anderson,25,0
2020-02-15,Cherokee,25,0
2020-02-15,Greenville,25,0
2020-02-15,Greenwood,25,0
2020-02-15,Laurens,25,0
2020-02-15,Oconee,25,0
2020-02-15,Pickens,25,0
2020-02-15,Spartanburg,25,0
2020-02-15,Union,25,0
2020-02-16,Abbeville,26,0
2020-02-16,Anderson,26,0
2020-02-16,Cherokee,26,0
2020-02-16,Greenville,26,0
2020-02-16,Greenwood,26,0
2020-02-16,Laurens,26,0
2020-02-16,Oconee,26,0
2020-02-16,Pickens,26,0
2020-02-16,Spartanburg,26,0
2020-02-16,Union,26,0
2020-02-17,Abbeville,27,0
2020-02-17,Anderson,27,0
2020-02-17,Cherokee,27,0
2020-02-17,Greenville,27,0
2020-02-17,Greenwood,27,0
2020-02-17,Laurens,27,0
2020-02-17,Oconee,27,0
2020-02-17,Pickens,27,0
2020-02-17,Spartanburg,27,0
2020-02-17,Union,27,0
2020-02-18,Abbeville,28,0
2020-02-18,Anderson,28,0
2020-02-18,Cherokee,28,0
2020-02-18,Greenville,28,0
2020-02-18,Greenwood,28,0
2020-02-18,Laurens,28,0
2020-02-18,Oconee,28,0
2020-02-18,Pickens,28,0
2020-02-18,Spartanburg,28,0
2020-02-18,Union,28,0
2020-02-19,Abbeville,29,0
2020-02-19,Anderson,29,0
2020-02-19,Cherokee,29,0
2020-02-19,Greenville,29,0
2020-02-19,Greenwood,29,0
2020-02-19,Laurens,29,0
2020-02-19,Oconee,29,0
2020-02-19,Pickens,29,0
2020-02-19,Spartanburg,29,0
2020-02-19,Union,29,0
2020-02-20,Abbeville,30,0
2020-02-20,Anderson,30,0
2020-02-20,Cherokee,30,0
2020-02-20,Greenville,30,0
2020-02-20,Greenwood,30,0
2020-02-20,Laurens,30,0
2020-02-20,Oconee,30,0
2020-02-20,Pickens,30,0
2020-02-20,Spartanburg,30,0
2020-02-20,Union,30,0
2020-02-21,Abbeville,31,0
2020-02-21,Anderson,31,0
2020-02-21,Cherokee,31,0
2020-02-21,Greenville,31,0
2020-02-21,Greenwood,31,0
2020-02-21,Laurens,31,0
2020-02-21,Oconee,31,0
2020-02-21,Pickens,31,0
2020-02-21,Spartanburg,31,0
2020-02-21,Union,31,0
2020-02-22,Abbeville,32,0
2020-02-22,Anderson,32,0
