date,time,location,count
2020-01-22,1,China,548
2020-01-22,1,Italy,1e-5
2020-01-22,1,NL,1e-5
2020-01-22,1,Other,6
2020-01-22,1,Sweden,1e-5
2020-01-22,1,USA,1
2020-01-23,2,China,643
2020-01-23,2,Italy,1e-5
2020-01-23,2,NL,1e-5
2020-01-23,2,Other,10
2020-01-23,2,Sweden,1e-5
2020-01-23,2,USA,1
2020-01-24,3,China,920
2020-01-24,3,Italy,1e-5
2020-01-24,3,NL,1e-5
2020-01-24,3,Other,19
2020-01-24,3,Sweden,1e-5
2020-01-24,3,USA,2
2020-01-25,4,China,1406
2020-01-25,4,Italy,1e-5
2020-01-25,4,NL,1e-5
2020-01-25,4,Other,26
2020-01-25,4,Sweden,1e-5
2020-01-25,4,USA,2
2020-01-26,5,China,2075
2020-01-26,5,Italy,1e-5
2020-01-26,5,NL,1e-5
2020-01-26,5,Other,38
2020-01-26,5,Sweden,1e-5
2020-01-26,5,USA,5
2020-01-27,6,China,2877
2020-01-27,6,Italy,1e-5
2020-01-27,6,NL,1e-5
2020-01-27,6,Other,45
2020-01-27,6,Sweden,1e-5
2020-01-27,6,USA,5
2020-01-28,7,China,5509
2020-01-28,7,Italy,1e-5
2020-01-28,7,NL,1e-5
2020-01-28,7,Other,64
2020-01-28,7,Sweden,1e-5
2020-01-28,7,USA,5
2020-01-29,8,China,6087
2020-01-29,8,Italy,1e-5
2020-01-29,8,NL,1e-5
2020-01-29,8,Other,74
2020-01-29,8,Sweden,1e-5
2020-01-29,8,USA,5
2020-01-30,9,China,8141
2020-01-30,9,Italy,1e-5
2020-01-30,9,NL,1e-5
2020-01-30,9,Other,88
2020-01-30,9,Sweden,1e-5
2020-01-30,9,USA,5
2020-01-31,10,China,9802
2020-01-31,10,Italy,2
2020-01-31,10,NL,1e-5
2020-01-31,10,Other,115
2020-01-31,10,Sweden,1
2020-01-31,10,USA,7
2020-02-01,11,China,11891
2020-02-01,11,Italy,2
2020-02-01,11,NL,1e-5
2020-02-01,11,Other,136
2020-02-01,11,Sweden,1
2020-02-01,11,USA,8
2020-02-02,12,China,16630
2020-02-02,12,Italy,2
2020-02-02,12,NL,1e-5
2020-02-02,12,Other,146
2020-02-02,12,Sweden,1
2020-02-02,12,USA,8
2020-02-03,13,China,19716
2020-02-03,13,Italy,2
2020-02-03,13,NL,1e-5
2020-02-03,13,Other,151
2020-02-03,13,Sweden,1
2020-02-03,13,USA,11
2020-02-04,14,China,23707
2020-02-04,14,Italy,2
2020-02-04,14,NL,1e-5
2020-02-04,14,Other,171
2020-02-04,14,Sweden,1
2020-02-04,14,USA,11
2020-02-05,15,China,27440
2020-02-05,15,Italy,2
2020-02-05,15,NL,1e-5
2020-02-05,15,Other,181
2020-02-05,15,Sweden,1
2020-02-05,15,USA,11
2020-02-06,16,China,30587
2020-02-06,16,Italy,2
2020-02-06,16,NL,1e-5
2020-02-06,16,Other,193
2020-02-06,16,Sweden,1
2020-02-06,16,USA,11
2020-02-07,17,China,34110
2020-02-07,17,Italy,3
2020-02-07,17,NL,1e-5
2020-02-07,17,Other,266
2020-02-07,17,Sweden,1
2020-02-07,17,USA,11
2020-02-08,18,China,36814
2020-02-08,18,Italy,3
2020-02-08,18,NL,1e-5
2020-02-08,18,Other,291
2020-02-08,18,Sweden,1
2020-02-08,18,USA,11
2020-02-09,19,China,39829
2020-02-09,19,Italy,3
2020-02-09,19,NL,1e-5
2020-02-09,19,Other,306
2020-02-09,19,Sweden,1
2020-02-09,19,USA,11
2020-02-10,20,China,42354
2020-02-10,20,Italy,3
2020-02-10,20,NL,1e-5
2020-02-10,20,Other,393
2020-02-10,20,Sweden,1
2020-02-10,20,USA,11
2020-02-11,21,China,44386
2020-02-11,21,Italy,3
2020-02-11,21,NL,1e-5
2020-02-11,21,Other,400
2020-02-11,21,Sweden,1
2020-02-11,21,USA,12
2020-02-12,22,China,44759
2020-02-12,22,Italy,3
2020-02-12,22,NL,1e-5
2020-02-12,22,Other,446
2020-02-12,22,Sweden,1
2020-02-12,22,USA,12
2020-02-13,23,China,59895
2020-02-13,23,Italy,3
2020-02-13,23,NL,1e-5
2020-02-13,23,Other,456
2020-02-13,23,Sweden,1
2020-02-13,23,USA,13
2020-02-14,24,China,66358
2020-02-14,24,Italy,3
2020-02-14,24,NL,1e-5
2020-02-14,24,Other,510
2020-02-14,24,Sweden,1
2020-02-14,24,USA,13
2020-02-15,25,China,68413
2020-02-15,25,Italy,3
2020-02-15,25,NL,1e-5
2020-02-15,25,Other,600
2020-02-15,25,Sweden,1
2020-02-15,25,USA,13
2020-02-16,26,China,70513
2020-02-16,26,Italy,3
2020-02-16,26,NL,1e-5
2020-02-16,26,Other,694
2020-02-16,26,Sweden,1
2020-02-16,26,USA,13
2020-02-17,27,China,72434
2020-02-17,27,Italy,3
2020-02-17,27,NL,1e-5
2020-02-17,27,Other,807
2020-02-17,27,Sweden,1
2020-02-17,27,USA,13
2020-02-18,28,China,74211
2020-02-18,28,Italy,3
2020-02-18,28,NL,1e-5
2020-02-18,28,Other,908
2020-02-18,28,Sweden,1
2020-02-18,28,USA,13
2020-02-19,29,China,74619
2020-02-19,29,Italy,3
2020-02-19,29,NL,1e-5
2020-02-19,29,Other,1003
2020-02-19,29,Sweden,1
2020-02-19,29,USA,13
2020-02-20,30,China,75077
2020-02-20,30,Italy,3
2020-02-20,30,NL,1e-5
2020-02-20,30,Other,1103
2020-02-20,30,Sweden,1
2020-02-20,30,USA,13
2020-02-21,31,China,75550
2020-02-21,31,Italy,20
2020-02-21,31,NL,1e-5
2020-02-21,31,Other,1233
2020-02-21,31,Sweden,1
2020-02-21,31,USA,15
2020-02-22,32,China,77001
2020-02-22,32,Italy,62
2020-02-22,32,NL,1e-5
2020-02-22,32,Other,1493
2020-02-22,32,Sweden,1
2020-02-22,32,USA,15
2020-02-23,33,China,77022
2020-02-23,33,Italy,155
2020-02-23,33,NL,1e-5
2020-02-23,33,Other,1765
2020-02-23,33,Sweden,1
2020-02-23,33,USA,15
2020-02-24,34,China,77241
2020-02-24,34,Italy,229
2020-02-24,34,NL,1e-5
2020-02-24,34,Other,2039
2020-02-24,34,Sweden,1
2020-02-24,34,USA,51
2020-02-25,35,China,77754
2020-02-25,35,Italy,322
2020-02-25,35,NL,1e-5
2020-02-25,35,Other,2278
2020-02-25,35,Sweden,1
2020-02-25,35,USA,51
2020-02-26,36,China,78166
2020-02-26,36,Italy,453
2020-02-26,36,NL,1e-5
2020-02-26,36,Other,2710
2020-02-26,36,Sweden,2
2020-02-26,36,USA,57
2020-02-27,37,China,78600
2020-02-27,37,Italy,655
2020-02-27,37,NL,1
2020-02-27,37,Other,3425
2020-02-27,37,Sweden,7
2020-02-27,37,USA,58
2020-02-28,38,China,78928
2020-02-28,38,Italy,888
2020-02-28,38,NL,1
2020-02-28,38,Other,4228
2020-02-28,38,Sweden,7
2020-02-28,38,USA,60
2020-02-29,39,China,79356
2020-02-29,39,Italy,1128
2020-02-29,39,NL,6
2020-02-29,39,Other,5441
2020-02-29,39,Sweden,12
2020-02-29,39,USA,68
2020-03-01,40,China,79932
2020-03-01,40,Italy,1694
2020-03-01,40,NL,10
2020-03-01,40,Other,6645
2020-03-01,40,Sweden,14
2020-03-01,40,USA,74
2020-03-02,41,China,80136
2020-03-02,41,Italy,2036
2020-03-02,41,NL,18
2020-03-02,41,Other,8003
2020-03-02,41,Sweden,15
2020-03-02,41,USA,98
2020-03-03,42,China,80261
2020-03-03,42,Italy,2502
2020-03-03,42,NL,24
2020-03-03,42,Other,9914
2020-03-03,42,Sweden,21
2020-03-03,42,USA,118
2020-03-04,43,China,80386
2020-03-04,43,Italy,3089
2020-03-04,43,NL,38
2020-03-04,43,Other,11423
2020-03-04,43,Sweden,35
2020-03-04,43,USA,149
2020-03-05,44,China,80537
2020-03-05,44,Italy,3858
2020-03-05,44,NL,82
2020-03-05,44,Other,13098
2020-03-05,44,Sweden,94
2020-03-05,44,USA,217
2020-03-06,45,China,80690
2020-03-06,45,Italy,4636
2020-03-06,45,NL,128
2020-03-06,45,Other,15984
2020-03-06,45,Sweden,101
2020-03-06,45,USA,262
2020-03-07,46,China,80770
2020-03-07,46,Italy,5883
2020-03-07,46,NL,188
2020-03-07,46,Other,18443
2020-03-07,46,Sweden,161
2020-03-07,46,USA,402
2020-03-08,47,China,80823
2020-03-08,47,Italy,7375
2020-03-08,47,NL,265
2020-03-08,47,Other,20637
2020-03-08,47,Sweden,203
