date,time,location,count
2020-01-22,5,China,548
2020-01-23,6,China,643
2020-01-24,7,China,920
2020-01-25,8,China,1406
2020-01-26,9,China,2075
2020-01-27,10,China,2877
2020-01-28,11,China,5509
2020-01-29,12,China,6087
2020-01-30,13,China,8141
2020-01-31,14,China,9802
2020-02-01,15,China,11891
2020-02-02,16,China,16630
2020-02-03,17,China,19716
2020-02-04,18,China,23707
2020-02-05,19,China,27440
2020-02-06,20,China,30587
2020-02-07,21,China,34110
2020-02-08,22,China,36814
2020-02-09,23,China,39829
2020-02-10,24,China,42354
2020-02-11,25,China,44386
2020-02-12,26,China,44759
2020-02-13,27,China,59895
2020-02-14,28,China,66358
2020-02-15,29,China,68413
2020-02-16,30,China,70513
2020-02-17,31,China,72434
2020-02-18,32,China,74211
2020-02-19,33,China,74619
2020-02-20,34,China,75077
2020-02-21,35,China,75550
2020-02-22,36,China,77001
2020-02-23,37,China,77022
2020-02-24,38,China,77241
2020-02-25,39,China,77754
2020-02-26,40,China,78166
2020-02-27,41,China,78600
2020-02-28,42,China,78928
2020-02-29,43,China,79356
2020-03-01,44,China,79932
2020-03-02,45,China,80136
2020-03-03,46,China,80261
2020-03-04,47,China,80386
2020-03-05,48,China,80537
2020-03-06,49,China,80690
2020-03-07,50,China,80770
2020-03-08,51,China,80823
2020-03-09,52,China,80860
2020-03-10,53,China,80887
2020-03-11,54,China,80921
2020-03-12,55,China,80932
2020-03-13,56,China,80945
2020-03-14,57,China,80977
2020-03-15,58,China,81003
2020-03-16,59,China,81033
2020-03-17,60,China,81058
2020-03-18,61,China,81102
2020-03-19,62,China,81156
2020-03-20,63,China,81250
2020-03-21,64,China,81305
2020-03-22,65,China,81435
2020-03-23,66,China,81498
2020-03-24,67,China,81591
2020-03-25,68,China,81661
2020-03-26,69,China,81782
2020-03-27,70,China,81897
2020-03-28,71,China,81999
2020-03-29,72,China,82122
2020-03-30,73,China,82198
2020-03-31,74,China,82279
2020-04-01,75,China,82361
2020-04-02,76,China,82432
2020-04-03,77,China,82511
2020-04-04,78,China,82543
2020-04-05,79,China,82602
2020-04-06,80,China,82665
2020-04-07,81,China,82718
2020-04-08,82,China,82809
2020-04-09,83,China,82883
2020-04-10,84,China,82941
2020-04-11,85,China,83014
2020-04-12,86,China,83134
2020-04-13,87,China,83213
2020-04-14,88,China,83306
2020-04-15,89,China,83356
2020-04-16,90,China,83403
2020-04-17,91,China,83760
2020-04-18,92,China,83787
2020-04-19,93,China,83805
2020-04-20,94,China,83817
2020-04-21,95,China,83853
2020-04-22,96,China,83868
2020-04-23,97,China,83884
2020-04-24,98,China,83899
2020-04-25,99,China,83909
2020-04-26,100,China,83912
2020-04-27,101,China,83918
2020-04-28,102,China,83940
2020-04-29,103,China,83944
2020-04-30,104,China,83956
2020-05-01,105,China,83959
2020-05-02,106,China,83959
2020-05-03,107,China,83964
2020-05-04,108,China,83966
2020-05-05,109,China,83968
2020-05-06,110,China,83970
2020-05-07,111,China,83975
2020-05-08,112,China,83976
2020-05-09,113,China,83990
2020-05-10,114,China,84010
2020-05-11,115,China,84011
2020-05-12,116,China,84018
2020-05-13,117,China,84024
2020-05-14,118,China,84029
2020-05-15,119,China,84038
2020-05-16,120,China,84044
2020-05-17,121,China,84054
2020-05-18,122,China,84063
2020-05-19,123,China,84063
2020-05-20,124,China,84063
2020-05-21,125,China,84063
2020-05-22,126,China,84081
2020-05-23,127,China,84084
2020-05-24,128,China,84095
2020-05-25,129,China,84102
2020-05-26,130,China,84103
2020-05-27,131,China,84106
2020-05-28,132,China,84106
2020-05-29,133,China,84123
2020-05-30,134,China,84128
2020-05-31,135,China,84146
2020-06-01,136,China,84154
2020-06-02,137,China,84161
2020-06-03,138,China,84160
2020-06-04,139,China,84171
2020-06-05,140,China,84177
2020-06-06,141,China,84186
2020-06-07,142,China,84191
2020-06-08,143,China,84195
2020-06-09,144,China,84198
2020-06-10,145,China,84209
2020-06-11,146,China,84216
2020-06-12,147,China,84228
2020-06-13,148,China,84286
2020-06-14,149,China,84335
2020-06-15,150,China,84378
2020-06-16,151,China,84422
2020-06-17,152,China,84458
2020-06-18,153,China,84494
2020-06-19,154,China,84494
2020-06-20,155,China,84553
2020-06-21,156,China,84572
2020-06-22,157,China,84624
2020-06-23,158,China,84653
2020-06-24,159,China,84673
2020-06-25,160,China,84701
2020-06-26,161,China,84725
2020-01-22,-34,Iran,0.1
2020-01-23,-33,Iran,0.1
2020-01-24,-32,Iran,0.1
2020-01-25,-31,Iran,0.1
2020-01-26,-30,Iran,0.1
2020-01-27,-29,Iran,0.1
2020-01-28,-28,Iran,0.1
2020-01-29,-27,Iran,0.1
2020-01-30,-26,Iran,0.1
2020-01-31,-25,Iran,0.1
2020-02-01,-24,Iran,0.1
2020-02-02,-23,Iran,0.1
2020-02-03,-22,Iran,0.1
2020-02-04,-21,Iran,0.1
2020-02-05,-20,Iran,0.1
2020-02-06,-19,Iran,0.1
2020-02-07,-18,Iran,0.1
2020-02-08,-17,Iran,0.1
2020-02-09,-16,Iran,0.1
2020-02-10,-15,Iran,0.1
2020-02-11,-14,Iran,0.1
2020-02-12,-13,Iran,0.1
2020-02-13,-12,Iran,0.1
2020-02-14,-11,Iran,0.1
2020-02-15,-10,Iran,0.1
2020-02-16,-9,Iran,0.1
2020-02-17,-8,Iran,0.1
2020-02-18,-7,Iran,0.1
2020-02-19,-6,Iran,2
2020-02-20,-5,Iran,5
2020-02-21,-4,Iran,18
2020-02-22,-3,Iran,28
2020-02-23,-2,Iran,43
2020-02-24,-1,Iran,61
2020-02-25,0,Iran,95
2020-02-26,1,Iran,139
2020-02-27,2,Iran,245
2020-02-28,3,Iran,388
2020-02-29,4,Iran,593
2020-03-01,5,Iran,978
2020-03-02,6,Iran,1501
2020-03-03,7,Iran,2336
2020-03-04,8,Iran,2922
2020-03-05,9,Iran,3513
2020-03-06,10,Iran,4747
2020-03-07,11,Iran,5823
2020-03-08,12,Iran,6566
2020-03-09,13,Iran,7161
2020-03-10,14,Iran,8042
2020-03-11,15,Iran,9e3
2020-03-12,16,Iran,10075
2020-03-13,17,Iran,11364
2020-03-14,18,Iran,12729
2020-03-15,19,Iran,13938
2020-03-16,20,Iran,14991
2020-03-17,21,Iran,16169
2020-03-18,22,Iran,17361
2020-03-19,23,Iran,18407
2020-03-20,24,Iran,19644
2020-03-21,25,Iran,20610
2020-03-22,26,Iran,21638
2020-03-23,27,Iran,23049
2020-03-24,28,Iran,24811
2020-03-25,29,Iran,27017
2020-03-26,30,Iran,29406
2020-03-27,31,Iran,32332
2020-03-28,32,Iran,35408
2020-03-29,33,Iran,38309
2020-03-30,34,Iran,41495
2020-03-31,35,Iran,44605
2020-04-01,36,Iran,47593
2020-04-02,37,Iran,50468
