time,location,count,growth
2,China,18,1
2,Italy,1e-5,0
2,NL,1e-5,0
2,Other,1e-5,0
2,USA,1e-5,0
3,China,26,8
3,Italy,1e-5,0
3,NL,1e-5,0
3,Other,1e-5,0
3,USA,1e-5,0
4,China,42,16
4,Italy,1e-5,0
4,NL,1e-5,0
4,Other,1e-5,0
4,USA,1e-5,0
5,China,56,14
5,Italy,1e-5,0
5,NL,1e-5,0
5,Other,1e-5,0
5,USA,1e-5,0
6,China,82,26
6,Italy,1e-5,0
6,NL,1e-5,0
6,Other,1e-5,0
6,USA,1e-5,0
7,China,131,49
7,Italy,1e-5,0
7,NL,1e-5,0
7,Other,1e-5,0
7,USA,1e-5,0
8,China,133,2
8,Italy,1e-5,0
8,NL,1e-5,0
8,Other,1e-5,0
8,USA,1e-5,0
9,China,171,38
9,Italy,1e-5,0
9,NL,1e-5,0
9,Other,1e-5,0
9,USA,1e-5,0
10,China,213,42
10,Italy,1e-5,0
10,NL,1e-5,0
10,Other,1e-5,0
10,USA,1e-5,0
11,China,259,46
11,Italy,1e-5,0
11,NL,1e-5,0
11,Other,1e-5,0
11,USA,1e-5,0
12,China,361,102
12,Italy,1e-5,0
12,NL,1e-5,0
12,Other,1,1
12,USA,1e-5,0
13,China,425,64
13,Italy,1e-5,0
13,NL,1e-5,0
13,Other,1,0
13,USA,1e-5,0
14,China,491,66
14,Italy,1e-5,0
14,NL,1e-5,0
14,Other,1,0
14,USA,1e-5,0
15,China,563,72
15,Italy,1e-5,0
15,NL,1e-5,0
15,Other,1,0
15,USA,1e-5,0
16,China,633,70
16,Italy,1e-5,0
16,NL,1e-5,0
16,Other,1,0
16,USA,1e-5,0
17,China,718,85
17,Italy,1e-5,0
17,NL,1e-5,0
17,Other,1,0
17,USA,1e-5,0
18,China,805,87
18,Italy,1e-5,0
18,NL,1e-5,0
18,Other,1,0
18,USA,1e-5,0
19,China,905,100
19,Italy,1e-5,0
19,NL,1e-5,0
19,Other,1,0
19,USA,1e-5,0
20,China,1012,107
20,Italy,1e-5,0
20,NL,1e-5,0
20,Other,1,0
20,USA,1e-5,0
21,China,1112,100
21,Italy,1e-5,0
21,NL,1e-5,0
21,Other,1,0
21,USA,1e-5,0
22,China,1117,5
22,Italy,1e-5,0
22,NL,1e-5,0
22,Other,1,0
22,USA,1e-5,0
23,China,1369,252
23,Italy,1e-5,0
23,NL,1e-5,0
23,Other,2,1
23,USA,1e-5,0
24,China,1521,152
24,Italy,1e-5,0
24,NL,1e-5,0
24,Other,2,0
24,USA,1e-5,0
25,China,1663,142
25,Italy,1e-5,0
25,NL,1e-5,0
25,Other,3,1
25,USA,1e-5,0
26,China,1766,103
26,Italy,1e-5,0
26,NL,1e-5,0
26,Other,4,1
26,USA,1e-5,0
27,China,1864,98
27,Italy,1e-5,0
27,NL,1e-5,0
27,Other,4,0
27,USA,1e-5,0
28,China,2003,139
28,Italy,1e-5,0
28,NL,1e-5,0
28,Other,4,0
28,USA,1e-5,0
29,China,2116,113
29,Italy,1e-5,0
29,NL,1e-5,0
29,Other,6,2
29,USA,1e-5,0
30,China,2238,122
30,Italy,1e-5,0
30,NL,1e-5,0
30,Other,8,3
30,USA,1e-5,0
31,China,2238,0
31,Italy,1,1
31,NL,1e-5,0
31,Other,10,3
31,USA,1e-5,0
32,China,2443,205
32,Italy,2,1
32,NL,1e-5,0
32,Other,11,1
32,USA,1e-5,0
33,China,2445,2
33,Italy,3,1
33,NL,1e-5,0
33,Other,15,8
33,USA,1e-5,0
34,China,2595,150
34,Italy,7,4
34,NL,1e-5,0
34,Other,19,6
34,USA,1e-5,0
35,China,2665,70
35,Italy,10,3
35,NL,1e-5,0
35,Other,23,6
35,USA,1e-5,0
36,China,2717,52
36,Italy,12,2
36,NL,1e-5,0
36,Other,29,8
36,USA,1e-5,0
37,China,2746,29
37,Italy,17,5
37,NL,1e-5,0
37,Other,38,10
37,USA,1e-5,0
38,China,2790,44
38,Italy,21,4
38,NL,1e-5,0
38,Other,48,10
38,USA,1e-5,0
39,China,2837,47
39,Italy,29,8
39,NL,1e-5,0
39,Other,58,13
39,USA,1,1
40,China,2872,35
40,Italy,34,5
40,NL,1e-5,0
40,Other,72,15
40,USA,1,0
41,China,2914,42
41,Italy,52,18
41,NL,1e-5,0
41,Other,85,24
41,USA,6,5
42,China,2947,33
42,Italy,79,27
42,NL,1e-5,0
42,Other,99,14
42,USA,7,1
43,China,2983,36
43,Italy,107,28
43,NL,1e-5,0
43,Other,118,26
43,USA,11,4
44,China,3015,32
44,Italy,148,41
44,NL,1e-5,0
44,Other,138,20
44,USA,12,1
45,China,3044,29
45,Italy,197,49
45,NL,1,1
45,Other,162,31
45,USA,14,2
46,China,3072,28
46,Italy,233,36
46,NL,1,0
46,Other,191,31
46,USA,17,3
47,China,3100,28
47,Italy,366,133
47,NL,3,2
47,Other,262,77
47,USA,21,4
48,China,3123,23
48,Italy,463,97
48,NL,3,0
48,Other,322,65
48,USA,22,1
49,China,3139,16
49,Italy,631,168
49,NL,4,1
49,Other,404,83
49,USA,28,6
50,China,3161,22
50,Italy,827,196
50,NL,5,1
50,Other,523,126
50,USA,36,8
51,China,3172,11
51,Italy,827,0
51,NL,5,0
51,Other,607,90
51,USA,40,4
52,China,3180,8
52,Italy,1266,439
52,NL,10,5
52,Other,828,225
52,USA,47,7
53,China,3193,13
53,Italy,1441,175
53,NL,12,2
53,Other,1038,218
53,USA,54,7
54,China,3203,10
54,Italy,1809,368
54,NL,20,8
54,Other,1259,226
54,USA,63,9
55,China,3217,14
55,Italy,2158,349
55,NL,24,4
55,Other,1550,297
55,USA,85,22
56,China,3230,13
56,Italy,2503,345
56,NL,43,19
56,Other,1916,379
56,USA,108,23
57,China,3241,11
57,Italy,2978,475
57,NL,58,15
57,Other,2226,317
57,USA,118,10
58,China,3249,8
58,Italy,3405,427
58,NL,77,19
58,Other,2801,598
58,USA,200,82
59,China,3253,4
59,Italy,4032,627
59,NL,107,30
59,Other,3502,727
59,USA,244,44
60,China,3259,6
60,Italy,4825,793
60,NL,137,30
60,Other,4259,782
60,USA,307,63
61,China,3274,15
61,Italy,5476,651
61,NL,180,43
61,Other,5099,859
61,USA,417,110
62,China,3274,0
62,Italy,6077,601
62,NL,214,34
62,Other,6149,1079
62,USA,557,140
63,China,3281,7
63,Italy,6820,743
63,NL,277,63
63,Other,7264,1158
63,USA,706,149
64,China,3285,4
64,Italy,7503,683
64,NL,357,80
64,Other,8762,1553
64,USA,942,236
65,China,3291,6
65,Italy,8215,712
65,NL,435,78
65,Other,10422,1726
65,USA,1209,267
66,China,3296,5
66,Italy,9134,919
66,NL,547,112
66,Other,12159,1820
66,USA,1581,372
67,China,3299,3
67,Italy,10023,889
67,NL,640,93
